name,r2_n100,r2_n250,r2_n600,r2_n1500,r2_n2400,sat_250_2400,sat_600_2400
siglip2_sm16_256,0.14533692527753841,0.19712090539375138,0.25308065617007086,0.2881346350605314,0.30521763121477585,0.6458372165762637,0.8291809852622269
siglip2_sm16_384,0.14519332433563778,0.1974956080963438,0.2522948169781329,0.2880551878764682,0.3056433508498384,0.6461636006384865,0.82545495027662
siglip2_sm16_512,0.14320857765554026,0.19615769140719821,0.2515002880657045,0.2877807269902132,0.30547336609847464,0.6421433525041373,0.8233133096933533
toklip_l_384,0.14055140464282323,0.1963748617818141,0.24457465036436973,0.27714099246120727,0.29224820230634074,0.6719454909630883,0.8368730703362939
toklip_s_256,0.1391742691353736,0.19358836621009168,0.24097361037519024,0.2722522921482273,0.286831444627462,0.6749203054132545,0.8401227093081369
uniar_bsq,0.03941999046025554,0.07430036509430789,0.11727944173943883,0.16470402664606165,0.18432065427559552,0.4031038484879414,0.6362794348813621
unitok_attn,0.13405564806270878,0.1904039406783061,0.2361293542159856,0.26865550171708563,0.2829987958231873,0.672808306920384,0.834382893853425
vilau_256,0.0038987806558543983,0.00902610489012153,0.01538533091386444,0.024773243989372307,0.030205354754148095,0.2988246608453416,0.5093577294188731
webssl_dino1b_full2b_224,0.13502159004334727,0.19800067305537472,0.24389803708116994,0.27546350218536075,0.2898378864827077,0.6831428266959427,0.8414981217292357
webssl_dino300m_full2b_224,0.10861558720134856,0.16103626631975498,0.20546210282290797,0.24158193643474224,0.2570843427750853,0.6263946865898417,0.7992011516728581
webssl_mae1b_full2b_224,0.038267850898158574,0.07008809035421897,0.10733167552614468,0.14735164330897454,0.16852570406883993,0.41588961601720503,0.6368860828630717
webssl_mae2b_full2b_224,0.04465391736847335,0.0821315724213078,0.12324752027760481,0.16744960885134574,0.1876012297524856,0.43779868889809126,0.6569654177651885
webssl_mae300m_full2b_224,0.04970418738515048,0.08456825624541575,0.12241299990891778,0.16066753556895508,0.17897680500977997,0.4725095871545736,0.6839601360758936
webssl_mae3b_full2b_224,0.04783184227659861,0.08541006265887212,0.12674822313427084,0.17167560570937468,0.1935788738082539,0.4412158257696733,0.6547626847949277
webssl_mae700m_full2b_224,0.04257659947533173,0.07728474651800969,0.11618477799082827,0.15732833799541968,0.17716811531284604,0.4362226599382127,0.6557883047164976
